school,degree_category,program_category,year,count
"University of California, Santa Barbara",Master,Statistics,2003,9
University of Chicago,Master,Statistics,2003,9
University of Idaho,Master,Statistics,2003,9
University of Illinois at Urbana-Champaign,Master,Statistics,2003,9
University of Maryland,Master,Statistics,2003,9
University of New Mexico,Master,Statistics,2003,9
University of North Carolina at Chapel Hill,Doctorate,Biostatistics,2003,9
Vanderbilt University,Master,Biostatistics,2003,9
Western Michigan University,Master,Statistics,2003,9
University of Central Florida,Master,Statistics,2003,8
University of Michigan,Doctorate,Statistics,2003,8
University of Michigan,Doctorate,Biostatistics,2003,8
Arizona State University,Master,Statistics,2003,7
Duke University,Doctorate,Statistics,2003,7
Emory University,Master,Biostatistics,2003,7
Georgia Institute of Technology,Master,Statistics,2003,7
Montana State University,Master,Statistics,2003,7
University of Connecticut,Master,Statistics,2003,7
University of Minnesota,Doctorate,Statistics,2003,7
University of Pittsburgh,Master,Statistics,2003,7
University of Texas at Austin,Master,Statistics,2003,7
Carnegie Mellon University,Doctorate,Statistics,2003,6
George Washington University,Master,Statistics,2003,6
Miami University,Master,Statistics,2003,6
Michigan State University,Doctorate,Statistics,2003,6
Mississippi State University,Master,Statistics,2003,6
Oklahoma State University,Master,Statistics,2003,6
Pennsylvania State University,Doctorate,Statistics,2003,6
Purdue University,Doctorate,Statistics,2003,6
Syracuse University,Master,Statistics,2003,6
Texas A&M University,Doctorate,Statistics,2003,6
University of Akron,Master,Statistics,2003,6
University of Delaware,Master,Statistics,2003,6
University of Kentucky,Master,Statistics,2003,6
University of Louisville,Master,Biostatistics,2003,6
University of Missouri,Master,Statistics,2003,6
University of Washington,Master,Statistics,2003,6
University of Washington,Doctorate,Biostatistics,2003,6
Western Michigan University,Doctorate,Statistics,2003,6
Yale University,Master,Statistics,2003,6
New Mexico State University,Master,Statistics,2003,5
"University of California, Berkeley",Doctorate,Statistics,2003,5
"University of California, Riverside",Master,Statistics,2003,5
University of North Carolina at Chapel Hill,Doctorate,Statistics,2003,5
University of Pennsylvania,Master,Statistics,2003,5
University of Pittsburgh,Master,Biostatistics,2003,5
University of Pittsburgh,Doctorate,Biostatistics,2003,5
University of Texas at Dallas,Master,Statistics,2003,5
University of Vermont,Master,Biostatistics,2003,5
University of Wisconsin-Madison,Doctorate,Statistics,2003,5
Virginia Tech,Doctorate,Statistics,2003,5
American University,Master,Statistics,2003,4
Auburn University,Master,Statistics,2003,4
Boston University,Master,Biostatistics,2003,4
"California State University, East Bay",Master,Statistics,2003,4
Colorado State University,Doctorate,Statistics,2003,4
Duke University,Master,Statistics,2003,4
Emory University,Doctorate,Biostatistics,2003,4
Harvard University,Doctorate,Statistics,2003,4
New Jersey Institute of Technology,Master,Statistics,2003,4
Texas Tech University,Master,Statistics,2003,4
University of Arkansas,Master,Statistics,2003,4
"University of California, Davis",Doctorate,Statistics,2003,4
"University of California, Santa Barbara",Doctorate,Statistics,2003,4
University of Iowa,Master,Biostatistics,2003,4
University of Iowa,Doctorate,Statistics,2003,4
University of Minnesota,Master,Statistics,2003,4
University of New Mexico,Doctorate,Statistics,2003,4
University of North Carolina at Chapel Hill,Master,Statistics,2003,4
University of Oklahoma,Master,Biostatistics,2003,4
University of Rochester,Doctorate,Statistics,2003,4
University of South Carolina,Master,Statistics,2003,4
University of Washington,Doctorate,Statistics,2003,4
Washington State University,Master,Statistics,2003,4
Yale University,Doctorate,Statistics,2003,4
American University,Doctorate,Statistics,2003,3
Baylor University,Doctorate,Statistics,2003,3
Columbia University,Doctorate,Statistics,2003,3
Cornell University,Doctorate,Statistics,2003,3
Florida International University,Master,Statistics,2003,3
Florida State University,Doctorate,Statistics,2003,3
Lehigh University,Master,Statistics,2003,3
Loma Linda University,Master,Biostatistics,2003,3
Montana State University,Doctorate,Statistics,2003,3
Northern Illinois University,Master,Statistics,2003,3
Oakland University,Master,Statistics,2003,3
Ohio State University,Doctorate,Statistics,2003,3
Ohio State University,Doctorate,Biostatistics,2003,3
Rice University,Doctorate,Statistics,2003,3
University of Alabama at Birmingham,Master,Biostatistics,2003,3
"University of California, Los Angeles",Doctorate,Biostatistics,2003,3
University of Houston,Master,Statistics,2003,3
"University of Maryland, Baltimore County",Doctorate,Statistics,2003,3
University of Mississippi Medical Center,Master,Biostatistics,2003,3
University of Pennsylvania,Master,Biostatistics,2003,3
University of Pennsylvania,Doctorate,Statistics,2003,3
University of Rhode Island,Master,Statistics,2003,3
University of Rochester,Master,Statistics,2003,3
University of South Carolina,Master,Biostatistics,2003,3
University of Southern California,Master,Statistics,2003,3
University of Southern California,Doctorate,Biostatistics,2003,3
Utah State University,Master,Statistics,2003,3
Virginia Commonwealth University,Doctorate,Biostatistics,2003,3
Worcester Polytechnic Institute,Master,Statistics,2003,3
Ball State University,Master,Statistics,2003,2
Case Western Reserve University,Master,Statistics,2003,2
Case Western Reserve University,Doctorate,Statistics,2003,2
George Washington University,Doctorate,Statistics,2003,2
Kansas State University,Doctorate,Statistics,2003,2
Montclair State University,Master,Statistics,2003,2
New York Medical College,Master,Biostatistics,2003,2
Northwestern University,Master,Statistics,2003,2
Portland State University,Master,Statistics,2003,2
Rutgers University,Doctorate,Statistics,2003,2
Southern Methodist University,Master,Statistics,2003,2
Southern Methodist University,Doctorate,Statistics,2003,2
Tulane University,Master,Statistics,2003,2
"University of California, Berkeley",Master,Biostatistics,2003,2
"University of California, Berkeley",Doctorate,Biostatistics,2003,2
"University of California, Los Angeles",Doctorate,Statistics,2003,2
University of Chicago,Doctorate,Statistics,2003,2
University of Connecticut,Doctorate,Statistics,2003,2
University of Illinois at Urbana-Champaign,Doctorate,Statistics,2003,2
"University of Maryland, Baltimore County",Master,Statistics,2003,2
University of Missouri,Doctorate,Statistics,2003,2
University of Oklahoma,Doctorate,Biostatistics,2003,2
University of Pittsburgh,Doctorate,Statistics,2003,2
University of South Carolina,Doctorate,Statistics,2003,2
University of Southern Maine,Master,Statistics,2003,2
University of Utah,Master,Biostatistics,2003,2
University of Vermont,Master,Statistics,2003,2
University of Virginia,Master,Statistics,2003,2
Virginia Commonwealth University,Master,Biostatistics,2003,2
Wright State University,Master,Statistics,2003,2
George Washington University,Master,Biostatistics,2003,1
George Washington University,Doctorate,Biostatistics,2003,1
Harvard University,Doctorate,Biostatistics,2003,1
Marquette University,Master,Statistics,2003,1
Medical College of Wisconsin,Doctorate,Biostatistics,2003,1
North Dakota State University,Master,Statistics,2003,1
North Dakota State University,Doctorate,Statistics,2003,1
Northwestern University,Doctorate,Statistics,2003,1
Rice University,Master,Statistics,2003,1
Saint Louis University,Master,Biostatistics,2003,1
Stephen F Austin State University,Master,Statistics,2003,1
Tulane University,Doctorate,Biostatistics,2003,1
University of Alabama at Birmingham,Doctorate,Biostatistics,2003,1
"University of California, Riverside",Doctorate,Statistics,2003,1
University of Florida,Doctorate,Statistics,2003,1
University of Miami,Master,Statistics,2003,1
University of Mississippi Medical Center,Doctorate,Biostatistics,2003,1
University of Texas at El Paso,Master,Statistics,2003,1
University of Texas at San Antonio,Master,Statistics,2003,1
University of Virginia,Doctorate,Statistics,2003,1
University of Wyoming,Master,Statistics,2003,1
Wayne State University,Master,Statistics,2003,1
Western Michigan University,Master,Biostatistics,2003,1
Arizona State University,Doctorate,Statistics,2003,0
Augusta University,Master,Biostatistics,2003,0
Augusta University,Doctorate,Biostatistics,2003,0
"Baruch College, City University of New York",Master,Statistics,2003,0
Baylor University,Master,Statistics,2003,0
Boston University,Master,Statistics,2003,0
Boston University,Doctorate,Biostatistics,2003,0
Bowling Green State University,Doctorate,Statistics,2003,0
Brown University,Master,Biostatistics,2003,0
Brown University,Doctorate,Biostatistics,2003,0
"California State University, East Bay",Master,Biostatistics,2003,0
California State University-Fullerton,Master,Statistics,2003,0
"California State University, Long Beach",Master,Statistics,2003,0
Columbia University,Master,Biostatistics,2003,0
Columbia University,Doctorate,Biostatistics,2003,0
Drexel University,Master,Biostatistics,2003,0
Duke University,Master,Biostatistics,2003,0
Eastern Kentucky University,Master,Statistics,2003,0
Eastern Michigan University,Master,Statistics,2003,0
Florida State University,Master,Biostatistics,2003,0
Florida State University,Doctorate,Biostatistics,2003,0
Fordham University,Master,Statistics,2003,0
George Mason University,Master,Biostatistics,2003,0
George Mason University,Doctorate,Statistics,2003,0
Georgetown University,Master,Statistics,2003,0
Georgetown University,Master,Biostatistics,2003,0
Georgia Health Sciences University,Master,Biostatistics,2003,0
Grand Valley State University,Master,Biostatistics,2003,0
Harvard University,Master,Biostatistics,2003,0
"Hunter College, City University of New York",Master,Statistics,2003,0
Icahn School of Medicine at Mount Sinai,Master,Biostatistics,2003,0
Indiana University,Master,Statistics,2003,0
Indiana University,Master,Biostatistics,2003,0
Johns Hopkins University,Master,Biostatistics,2003,0
Johns Hopkins University,Doctorate,Biostatistics,2003,0
Kennesaw State University,Master,Statistics,2003,0
Louisiana State University,Master,Biostatistics,2003,0
Louisiana State University,Doctorate,Biostatistics,2003,0
Loyola University Chicago,Master,Statistics,2003,0
Medical College of Wisconsin,Master,Biostatistics,2003,0
Michigan State University,Master,Biostatistics,2003,0
Minnesota State University-Mankato,Master,Statistics,2003,0
National University,Master,Statistics,2003,0
New Jersey Institute of Technology,Master,Biostatistics,2003,0
New York University,Master,Statistics,2003,0
Northern Arizona University,Master,Statistics,2003,0
Northwestern University,Master,Biostatistics,2003,0
Ohio State University,Master,Biostatistics,2003,0
Oklahoma State University,Doctorate,Statistics,2003,0
Oregon Health & Science University,Master,Biostatistics,2003,0
Oregon State University,Doctorate,Statistics,2003,0
Pennsylvania State University-College of Medicine,Doctorate,Biostatistics,2003,0
Pennsylvania State University-World Campus,Master,Statistics,2003,0
Purdue University,Master,Biostatistics,2003,0
Purdue University,Doctorate,Biostatistics,2003,0
Rutgers University,Master,Biostatistics,2003,0
Saint Cloud State University,Master,Statistics,2003,0
Sam Houston State University,Master,Statistics,2003,0
San Jose State University,Master,Statistics,2003,0
South Dakota State University,Master,Statistics,2003,0
Stevens Institute of Technology,Master,Statistics,2003,0
Temple University,Master,Statistics,2003,0
Temple University,Doctorate,Statistics,2003,0
Texas A&M University,Master,Biostatistics,2003,0
"University at Albany, State University of New York",Doctorate,Statistics,2003,0
"University at Buffalo, State University of New York",Master,Biostatistics,2003,0
"University at Buffalo, State University of New York",Doctorate,Statistics,2003,0
"University at Buffalo, State University of New York",Doctorate,Biostatistics,2003,0
University of Alabama,Master,Statistics,2003,0
University of Alabama,Doctorate,Statistics,2003,0
University of Arizona,Master,Statistics,2003,0
University of Arizona,Master,Biostatistics,2003,0
University of Arizona,Doctorate,Statistics,2003,0
University of Arizona,Doctorate,Biostatistics,2003,0
"University of California, Davis",Master,Biostatistics,2003,0
"University of California, Davis",Doctorate,Biostatistics,2003,0
"University of California, Irvine",Master,Statistics,2003,0
"University of California, Irvine",Doctorate,Statistics,2003,0
"University of California, San Diego",Master,Statistics,2003,0
University of Central Oklahoma,Master,Statistics,2003,0
University of Cincinnati,Master,Statistics,2003,0
University of Cincinnati,Master,Biostatistics,2003,0
University of Cincinnati,Doctorate,Statistics,2003,0
University of Cincinnati,Doctorate,Biostatistics,2003,0
University of Colorado Denver,Master,Biostatistics,2003,0
University of Colorado Denver,Doctorate,Biostatistics,2003,0
University of Denver,Master,Statistics,2003,0
University of Florida,Master,Biostatistics,2003,0
University of Florida,Doctorate,Biostatistics,2003,0
University of Georgia,Master,Biostatistics,2003,0
University of Georgia,Doctorate,Statistics,2003,0
University of Hawaii at Manoa,Doctorate,Biostatistics,2003,0
University of Iowa,Doctorate,Biostatistics,2003,0
University of Kansas,Master,Biostatistics,2003,0
University of Kansas,Doctorate,Biostatistics,2003,0
University of Kentucky,Doctorate,Statistics,2003,0
University of Louisville,Doctorate,Biostatistics,2003,0
University of Maine,Master,Statistics,2003,0
University of Maryland,Doctorate,Statistics,2003,0
University of Massachusetts Amherst,Master,Biostatistics,2003,0
University of Massachusetts Amherst,Doctorate,Biostatistics,2003,0
University of Miami,Master,Biostatistics,2003,0
University of Minnesota,Doctorate,Biostatistics,2003,0
University of Missouri-Kansas City,Master,Biostatistics,2003,0
University of Nebraska-Lincoln,Master,Statistics,2003,0
University of Nebraska-Lincoln,Doctorate,Statistics,2003,0
University of New Hampshire,Doctorate,Statistics,2003,0
University of North Texas Health Science Center,Master,Biostatistics,2003,0
University of Pennsylvania,Doctorate,Biostatistics,2003,0
University of Rochester,Master,Biostatistics,2003,0
University of South Carolina,Doctorate,Biostatistics,2003,0
University of South Florida,Master,Statistics,2003,0
University of Texas at Dallas,Doctorate,Statistics,2003,0
University of Texas at San Antonio,Doctorate,Statistics,2003,0
University of Texas Health Science Center at Houston,Master,Biostatistics,2003,0
University of Texas Health Science Center at Houston,Doctorate,Biostatistics,2003,0
University of Texas Southwestern Medical Center,Master,Biostatistics,2003,0
University of the Incarnate Word,Master,Statistics,2003,0
University of Toledo,Master,Biostatistics,2003,0
University of Utah,Master,Statistics,2003,0
University of Wyoming,Doctorate,Statistics,2003,0
Washington University in St. Louis,Master,Statistics,2003,0
Washington University in St. Louis,Master,Biostatistics,2003,0
West Chester University,Master,Statistics,2003,0
Yale University,Master,Biostatistics,2003,0
Columbia University,Master,Statistics,2004,82
Rutgers University,Master,Statistics,2004,49
Ohio State University,Master,Statistics,2004,47
Iowa State University,Master,Statistics,2004,38
North Carolina State University,Master,Statistics,2004,37
Stanford University,Master,Statistics,2004,37
University of Michigan,Master,Statistics,2004,34
University of Georgia,Master,Statistics,2004,30
University of Iowa,Master,Statistics,2004,30
"California State University, East Bay",Master,Statistics,2004,28
Pennsylvania State University,Master,Statistics,2004,26
University of Central Florida,Master,Statistics,2004,25
University of Michigan,Master,Biostatistics,2004,24
Harvard University,Master,Statistics,2004,23
Purdue University,Master,Statistics,2004,23
"University of California, Los Angeles",Master,Statistics,2004,23
Michigan State University,Master,Statistics,2004,22
University of Illinois at Urbana-Champaign,Master,Statistics,2004,21
Texas A&M University,Master,Statistics,2004,19
University of North Carolina at Chapel Hill,Master,Biostatistics,2004,19
"University of California, Berkeley",Master,Statistics,2004,18
University of Minnesota,Master,Biostatistics,2004,18
Oregon State University,Master,Statistics,2004,17
Rochester Institute of Technology,Master,Statistics,2004,17
"University at Albany, State University of New York",Master,Statistics,2004,17
Virginia Tech,Master,Statistics,2004,17
Cornell University,Master,Statistics,2004,16
University of Florida,Master,Statistics,2004,16
"University of California, Los Angeles",Master,Biostatistics,2004,15
University of Chicago,Master,Statistics,2004,15
University of Minnesota,Master,Statistics,2004,15
University of Washington,Master,Biostatistics,2004,15
University of Wisconsin-Madison,Master,Statistics,2004,15
Louisiana State University,Master,Statistics,2004,14
University of Southern California,Master,Biostatistics,2004,14
University of Tennessee Knoxville,Master,Statistics,2004,14
Villanova University,Master,Statistics,2004,14
"University of California, Santa Barbara",Master,Statistics,2004,13
West Virginia University,Master,Statistics,2004,13
Georgia Institute of Technology,Master,Statistics,2004,12
Stanford University,Doctorate,Statistics,2004,12
Texas A&M University,Doctorate,Statistics,2004,12
University of Maryland,Master,Statistics,2004,12
University of Michigan,Doctorate,Biostatistics,2004,12
San Diego State University,Master,Statistics,2004,11
Tulane University,Master,Biostatistics,2004,11
"University of California, Berkeley",Master,Biostatistics,2004,11
University of Idaho,Master,Statistics,2004,11
University of Nebraska-Lincoln,Master,Statistics,2004,11
Colorado State University,Master,Statistics,2004,10
George Mason University,Master,Statistics,2004,10
"University of California, Davis",Master,Statistics,2004,10
University of Connecticut,Master,Statistics,2004,10
University of Iowa,Master,Biostatistics,2004,10
University of Missouri,Master,Statistics,2004,10
University of New Mexico,Master,Statistics,2004,10
University of Texas at San Antonio,Master,Statistics,2004,10
Vanderbilt University,Master,Biostatistics,2004,10
Brigham Young University,Master,Statistics,2004,9
DePaul University,Master,Statistics,2004,9
Harvard University,Doctorate,Biostatistics,2004,9
North Carolina State University,Doctorate,Statistics,2004,9
Northern Illinois University,Master,Statistics,2004,9
Pennsylvania State University,Doctorate,Statistics,2004,9
University of North Carolina at Chapel Hill,Doctorate,Biostatistics,2004,9
University of Pittsburgh,Master,Biostatistics,2004,9
University of Washington,Doctorate,Biostatistics,2004,9
Arizona State University,Master,Statistics,2004,8
Carnegie Mellon University,Doctorate,Statistics,2004,8
Iowa State University,Doctorate,Statistics,2004,8
New Jersey Institute of Technology,Master,Statistics,2004,8
University of Akron,Master,Statistics,2004,8
University of Pittsburgh,Doctorate,Biostatistics,2004,8
University of South Carolina,Master,Biostatistics,2004,8
Virginia Commonwealth University,Doctorate,Biostatistics,2004,8
Auburn University,Master,Statistics,2004,7
Ball State University,Master,Statistics,2004,7
Carnegie Mellon University,Master,Statistics,2004,7
North Dakota State University,Master,Statistics,2004,7
Rice University,Master,Statistics,2004,7
University of Arkansas,Master,Statistics,2004,7
University of Chicago,Doctorate,Statistics,2004,7
University of Kentucky,Master,Statistics,2004,7
University of North Carolina at Chapel Hill,Master,Statistics,2004,7
University of Southern California,Master,Statistics,2004,7
University of Virginia,Master,Statistics,2004,7
Utah State University,Master,Statistics,2004,7
George Washington University,Master,Statistics,2004,6
Montana State University,Master,Statistics,2004,6
Southern Methodist University,Master,Statistics,2004,6
Southern Methodist University,Doctorate,Statistics,2004,6
Syracuse University,Master,Statistics,2004,6
"University of California, Los Angeles",Doctorate,Biostatistics,2004,6
University of Pennsylvania,Master,Statistics,2004,6
University of Pittsburgh,Master,Statistics,2004,6
University of Texas at Austin,Master,Statistics,2004,6
University of Wisconsin-Madison,Doctorate,Statistics,2004,6
University of Wyoming,Master,Statistics,2004,6
Washington State University,Master,Statistics,2004,6
Western Michigan University,Master,Statistics,2004,6
Yale University,Master,Statistics,2004,6
Baylor University,Master,Statistics,2004,5
Baylor University,Doctorate,Statistics,2004,5
Cornell University,Doctorate,Statistics,2004,5
Florida State University,Master,Statistics,2004,5
Harvard University,Doctorate,Statistics,2004,5
Kansas State University,Master,Statistics,2004,5
Kansas State University,Doctorate,Statistics,2004,5
Miami University,Master,Statistics,2004,5
Mississippi State University,Master,Statistics,2004,5
New Mexico State University,Master,Statistics,2004,5
Northern Arizona University,Master,Statistics,2004,5
Ohio State University,Doctorate,Statistics,2004,5
Purdue University,Doctorate,Statistics,2004,5
Tulane University,Master,Statistics,2004,5
"University of California, Berkeley",Doctorate,Statistics,2004,5
"University of California, Riverside",Master,Statistics,2004,5
University of Delaware,Master,Statistics,2004,5
University of Kentucky,Doctorate,Statistics,2004,5
University of Michigan,Doctorate,Statistics,2004,5
University of North Carolina at Chapel Hill,Doctorate,Statistics,2004,5
University of Pennsylvania,Doctorate,Statistics,2004,5
University of South Carolina,Master,Statistics,2004,5
University of Southern Maine,Master,Statistics,2004,5
University of Texas at El Paso,Master,Statistics,2004,5
University of Washington,Master,Statistics,2004,5
Western Michigan University,Doctorate,Statistics,2004,5
Wright State University,Master,Statistics,2004,5
Yale University,Doctorate,Statistics,2004,5
American University,Master,Statistics,2004,4
Bowling Green State University,Master,Statistics,2004,4
Colorado State University,Doctorate,Statistics,2004,4
Columbia University,Doctorate,Statistics,2004,4
Eastern Michigan University,Master,Statistics,2004,4
Emory University,Master,Biostatistics,2004,4
Florida State University,Doctorate,Statistics,2004,4
Loma Linda University,Master,Biostatistics,2004,4
Sam Houston State University,Master,Statistics,2004,4
Texas Tech University,Master,Statistics,2004,4
"University of California, San Diego",Master,Statistics,2004,4
University of Florida,Doctorate,Statistics,2004,4
University of Georgia,Doctorate,Statistics,2004,4
"University of Maryland, Baltimore County",Master,Statistics,2004,4
University of Missouri,Doctorate,Statistics,2004,4
University of Oklahoma,Doctorate,Biostatistics,2004,4
University of Pittsburgh,Doctorate,Statistics,2004,4
University of Texas at Dallas,Master,Statistics,2004,4
University of Vermont,Master,Biostatistics,2004,4
Wayne State University,Master,Statistics,2004,4
Worcester Polytechnic Institute,Master,Statistics,2004,4
Boston University,Master,Biostatistics,2004,3
Case Western Reserve University,Doctorate,Statistics,2004,3
Duke University,Master,Statistics,2004,3
Lehigh University,Master,Statistics,2004,3
Montclair State University,Master,Statistics,2004,3
Rice University,Doctorate,Statistics,2004,3
Rutgers University,Doctorate,Statistics,2004,3
"University of California, Berkeley",Doctorate,Biostatistics,2004,3
"University of California, Davis",Doctorate,Statistics,2004,3
University of Connecticut,Doctorate,Statistics,2004,3
University of Houston,Master,Statistics,2004,3
University of Louisville,Master,Biostatistics,2004,3
University of Minnesota,Doctorate,Statistics,2004,3
University of Minnesota,Doctorate,Biostatistics,2004,3
University of South Carolina,Doctorate,Statistics,2004,3
University of Vermont,Master,Statistics,2004,3
University of Virginia,Doctorate,Statistics,2004,3
University of Washington,Doctorate,Statistics,2004,3
Virginia Commonwealth University,Master,Biostatistics,2004,3
Boston University,Doctorate,Biostatistics,2004,2
George Washington University,Master,Biostatistics,2004,2
George Washington University,Doctorate,Statistics,2004,2
New York Medical College,Master,Biostatistics,2004,2
North Dakota State University,Doctorate,Statistics,2004,2
Northwestern University,Master,Statistics,2004,2
Oakland University,Master,Statistics,2004,2
Ohio State University,Doctorate,Biostatistics,2004,2
Oklahoma State University,Master,Statistics,2004,2
Portland State University,Master,Statistics,2004,2
Saint Louis University,Master,Biostatistics,2004,2
University of Alabama at Birmingham,Doctorate,Biostatistics,2004,2
"University of California, Los Angeles",Doctorate,Statistics,2004,2
"University of California, Santa Barbara",Doctorate,Statistics,2004,2
University of Iowa,Doctorate,Statistics,2004,2
University of Iowa,Doctorate,Biostatistics,2004,2
University of Mississippi Medical Center,Master,Biostatistics,2004,2
University of New Mexico,Doctorate,Statistics,2004,2
University of Pennsylvania,Doctorate,Biostatistics,2004,2
University of Rhode Island,Master,Statistics,2004,2
University of Rochester,Master,Statistics,2004,2
University of Texas at Dallas,Doctorate,Statistics,2004,2
Virginia Tech,Doctorate,Statistics,2004,2
Duke University,Doctorate,Statistics,2004,1
Emory University,Doctorate,Biostatistics,2004,1
Florida International University,Master,Statistics,2004,1
George Washington University,Doctorate,Biostatistics,2004,1
Medical College of Wisconsin,Doctorate,Biostatistics,2004,1
Michigan State University,Doctorate,Statistics,2004,1
Stevens Institute of Technology,Master,Statistics,2004,1
"University at Albany, State University of New York",Doctorate,Statistics,2004,1
"University at Buffalo, State University of New York",Doctorate,Statistics,2004,1
"University of California, Davis",Master,Biostatistics,2004,1
"University of California, Riverside",Doctorate,Statistics,2004,1
University of Illinois at Urbana-Champaign,Doctorate,Statistics,2004,1
University of Miami,Master,Statistics,2004,1
University of Texas Health Science Center at Houston,Master,Biostatistics,2004,1
University of Texas Health Science Center at Houston,Doctorate,Biostatistics,2004,1
University of Utah,Master,Biostatistics,2004,1
Western Michigan University,Master,Biostatistics,2004,1
American University,Doctorate,Statistics,2004,0
Arizona State University,Doctorate,Statistics,2004,0
Augusta University,Master,Biostatistics,2004,0
Augusta University,Doctorate,Biostatistics,2004,0
"Baruch College, City University of New York",Master,Statistics,2004,0
Boston University,Master,Statistics,2004,0
Bowling Green State University,Doctorate,Statistics,2004,0
Brown University,Master,Biostatistics,2004,0
Brown University,Doctorate,Biostatistics,2004,0
"California State University, East Bay",Master,Biostatistics,2004,0
California State University-Fullerton,Master,Statistics,2004,0
"California State University, Long Beach",Master,Statistics,2004,0
Case Western Reserve University,Master,Statistics,2004,0
Columbia University,Master,Biostatistics,2004,0
Columbia University,Doctorate,Biostatistics,2004,0
Drexel University,Master,Biostatistics,2004,0
Duke University,Master,Biostatistics,2004,0
Eastern Kentucky University,Master,Statistics,2004,0
Florida State University,Master,Biostatistics,2004,0
Florida State University,Doctorate,Biostatistics,2004,0
Fordham University,Master,Statistics,2004,0
George Mason University,Master,Biostatistics,2004,0
George Mason University,Doctorate,Statistics,2004,0
Georgetown University,Master,Statistics,2004,0
Georgetown University,Master,Biostatistics,2004,0
Georgia Health Sciences University,Master,Biostatistics,2004,0
Grand Valley State University,Master,Biostatistics,2004,0
Harvard University,Master,Biostatistics,2004,0
"Hunter College, City University of New York",Master,Statistics,2004,0
Icahn School of Medicine at Mount Sinai,Master,Biostatistics,2004,0
Indiana University,Master,Statistics,2004,0
Indiana University,Master,Biostatistics,2004,0
Johns Hopkins University,Master,Biostatistics,2004,0
Johns Hopkins University,Doctorate,Biostatistics,2004,0
Kennesaw State University,Master,Statistics,2004,0
Louisiana State University,Master,Biostatistics,2004,0
Louisiana State University,Doctorate,Biostatistics,2004,0
Loyola University Chicago,Master,Statistics,2004,0
Marquette University,Master,Statistics,2004,0
Medical College of Wisconsin,Master,Biostatistics,2004,0
Michigan State University,Master,Biostatistics,2004,0
Minnesota State University-Mankato,Master,Statistics,2004,0
Montana State University,Doctorate,Statistics,2004,0
National University,Master,Statistics,2004,0
New Jersey Institute of Technology,Master,Biostatistics,2004,0
New York University,Master,Statistics,2004,0
Northwestern University,Master,Biostatistics,2004,0
Northwestern University,Doctorate,Statistics,2004,0
Ohio State University,Master,Biostatistics,2004,0
Oklahoma State University,Doctorate,Statistics,2004,0
Oregon Health & Science University,Master,Biostatistics,2004,0
Oregon State University,Doctorate,Statistics,2004,0
Pennsylvania State University-College of Medicine,Doctorate,Biostatistics,2004,0
Pennsylvania State University-World Campus,Master,Statistics,2004,0
Purdue University,Master,Biostatistics,2004,0
Purdue University,Doctorate,Biostatistics,2004,0
Rutgers University,Master,Biostatistics,2004,0
Saint Cloud State University,Master,Statistics,2004,0
San Jose State University,Master,Statistics,2004,0
South Dakota State University,Master,Statistics,2004,0
Stephen F Austin State University,Master,Statistics,2004,0
Temple University,Master,Statistics,2004,0
Temple University,Doctorate,Statistics,2004,0
Texas A&M University,Master,Biostatistics,2004,0
Tulane University,Doctorate,Biostatistics,2004,0
"University at Buffalo, State University of New York",Master,Biostatistics,2004,0
