school,degree_category,program_category,year,count
Columbia University,Master,Statistics,2003,76
Rutgers University,Master,Statistics,2003,44
Iowa State University,Master,Statistics,2003,39
North Carolina State University,Master,Statistics,2003,37
Ohio State University,Master,Statistics,2003,37
Stanford University,Master,Statistics,2003,32
University of Michigan,Master,Statistics,2003,28
Michigan State University,Master,Statistics,2003,24
University of Iowa,Master,Statistics,2003,24
University of Georgia,Master,Statistics,2003,23
University of North Carolina at Chapel Hill,Master,Biostatistics,2003,23
Harvard University,Master,Statistics,2003,22
University of Florida,Master,Statistics,2003,22
Cornell University,Master,Statistics,2003,21
Texas A&M University,Master,Statistics,2003,21
University of Michigan,Master,Biostatistics,2003,20
University of Minnesota,Master,Biostatistics,2003,19
Purdue University,Master,Statistics,2003,17
"University at Albany, State University of New York",Master,Statistics,2003,17
"University of California, Berkeley",Master,Statistics,2003,16
West Virginia University,Master,Statistics,2003,16
North Carolina State University,Doctorate,Statistics,2003,15
Carnegie Mellon University,Master,Statistics,2003,14
Villanova University,Master,Statistics,2003,14
Virginia Tech,Master,Statistics,2003,14
George Mason University,Master,Statistics,2003,13
University of Southern California,Master,Biostatistics,2003,13
University of Washington,Master,Biostatistics,2003,13
University of Wisconsin-Madison,Master,Statistics,2003,13
"University of California, Los Angeles",Master,Statistics,2003,12
Bowling Green State University,Master,Statistics,2003,11
"University of California, Davis",Master,Statistics,2003,11
"University of California, Los Angeles",Master,Biostatistics,2003,11
University of Tennessee Knoxville,Master,Statistics,2003,11
Brigham Young University,Master,Statistics,2003,10
Colorado State University,Master,Statistics,2003,10
Kansas State University,Master,Statistics,2003,10
Pennsylvania State University,Master,Statistics,2003,10
Rochester Institute of Technology,Master,Statistics,2003,10
Stanford University,Doctorate,Statistics,2003,10
Tulane University,Master,Biostatistics,2003,10
DePaul University,Master,Statistics,2003,9
Florida State University,Master,Statistics,2003,9
Iowa State University,Doctorate,Statistics,2003,9
Louisiana State University,Master,Statistics,2003,9
Oregon State University,Master,Statistics,2003,9
San Diego State University,Master,Statistics,2003,9
